Rank,Root Domain,Linking Root Domains,Domain Authority
1,https://www.apple.com,"5,429,661",100
2,youtube.com,"18,552,598",100
3,www.google.com,"12,414,498",100
4,www.blogger.com,"26,013,104",99
5,support.google.com,"4,594,395",99
6,play.google.com,"3,310,544",99
7,microsoft.com,"4,556,798",99
8,linkedin.com,"9,456,093",99
9,en.wikipedia.org,"5,508,280",98
10,maps.google.com,"4,433,866",98
11,docs.google.com,"2,394,965",98
12,youtu.be,"3,958,453",98
13,wordpress.org,"10,362,530",98
14,adobe.com,"2,746,505",98
15,cloudflare.com,"5,242,990",98
16,vimeo.com,"3,101,022",97
17,drive.google.com,"1,827,816",97
18,europa.eu,"1,659,558",97
19,sites.google.com,"1,782,243",97
20,mozilla.org,"1,897,652",97
21,accounts.google.com,"2,500,973",97
22,plus.google.com,"11,749,427",97
23,googleusercontent.com,"2,209,523",97
24,uol.com.br,"568,107",96
25,es.wikipedia.org,"785,827",96
26,github.com,"2,093,268",96
27,vk.com,"1,646,562",96
28,line.me,"652,947",96
29,facebook.com,"48,064,745",96
30,istockphoto.com,"3,161,192",96
31,pt.wikipedia.org,"358,485",96
32,bp.blogspot.com,"16,208,074",96
33,cnn.com,"1,213,161",96
34,bbc.co.uk,"1,411,171",96
35,amazon.com,"4,071,991",96
36,gstatic.com,"583,573",95
37,google.com.br,"274,100",95
38,policies.google.com,"1,140,468",95
39,abril.com.br,"223,218",95
40,whatsapp.com,"2,137,477",95
41,nih.gov,"1,045,807",95
42,imdb.com,"1,233,040",95
43,feedburner.com,"1,721,972",95
44,bbc.com,"658,810",95
45,dropbox.com,"924,679",95
46,medium.com,"1,168,393",95
47,news.google.com,"699,579",95
48,reuters.com,"721,165",95
49,hugedomains.com,"4,883,386",95
50,fr.wikipedia.org,"529,797",95
51,myspace.com,"1,262,649",95
52,opera.com,"729,814",95
53,nytimes.com,"1,694,912",95
54,google.co.jp,"631,776",95
55,globo.com,"381,096",95
56,google.es,"426,896",95
57,live.com,"737,879",95
58,jimdofree.com,"1,696,381",95
59,slideshare.net,"880,847",95
60,get.google.com,"759,800",95
61,msn.com,"972,237",95
62,issuu.com,"845,608",95
63,t.me,"640,436",95
64,paypal.com,"904,394",95
65,theguardian.com,"1,204,088",95
66,brandbucket.com,"11,055,070",95
67,forbes.com,"1,130,249",95
68,dailymotion.com,"1,060,782",95
69,mail.ru,"484,483",95
70,wikimedia.org,"1,384,425",95
71,google.de,"1,064,562",95
72,w3.org,"1,050,290",95
73,mail.google.com,"439,632",95
74,www.yahoo.com,"1,043,175",95
75,www.weebly.com,"2,128,038",95
76,creativecommons.org,"1,596,869",95
77,developers.google.com,"880,209",95
78,bloomberg.com,"675,077",94
79,ebay.com,"867,905",94
80,fb.com,"365,835",94
81,google.it,"413,024",94
82,cdc.gov,"647,688",94
83,ok.ru,"337,366",94
84,telegram.me,"273,888",94
85,fandom.com,"447,560",94
86,dailymail.co.uk,"774,226",94
87,www.gov.uk,"483,348",94
88,wired.com,"529,747",94
89,aol.com,"647,222",94
90,lefigaro.fr,"185,468",94
91,wikia.com,"457,633",94
92,android.com,"264,051",94
93,mediafire.com,"767,787",94
94,networkadvertising.org,"684,638",94
95,themeforest.net,"501,090",94
96,ig.com.br,"130,961",94
97,un.org,"424,120",94
98,amazon.de,"490,642",94
99,de.wikipedia.org,"585,504",94
100,myaccount.google.com,"268,194",94
101,samsung.com,"296,349",94
102,independent.co.uk,"513,732",94
103,usatoday.com,"639,285",94
104,scribd.com,"655,910",94
105,picasaweb.google.com,"611,464",94
106,files.wordpress.com,"2,745,356",94
107,change.org,"401,245",94
108,businessinsider.com,"568,695",94
109,4shared.com,"511,120",94
110,wa.me,"576,618",94
111,photos.google.com,"253,386",94
112,booking.com,"348,719",94
113,ipv4.google.com,"353,333",94
114,aliexpress.com,"442,018",94
115,indiatimes.com,"331,051",94
116,huffingtonpost.com,"869,013",94
117,news.yahoo.com,"574,295",94
118,google.pl,"205,130",94
119,twitter.com,"50,150,953",94
120,books.google.com,"344,411",94
121,search.google.com,"1,064,593",94
122,gravatar.com,"2,586,448",94
123,amazon.co.uk,"634,846",94
124,cpanel.net,"1,265,919",94
125,bit.ly,"4,124,039",94
126,amazon.co.jp,"769,835",94
127,marketingplatform.google.com,"732,495",94
128,time.com,"606,984",94
129,dan.com,"1,912,652",94
130,ft.com,"348,839",94
131,steampowered.com,"217,353",94
132,cpanel.com,"1,182,269",94
133,latimes.com,"585,948",94
134,webmd.com,"548,494",94
135,aboutads.info,"468,817",94
136,mirror.co.uk,"257,946",94
137,washingtonpost.com,"870,118",94
138,office.com,"351,706",94
139,nasa.gov,"547,527",94
140,id.wikipedia.org,"421,195",94
141,telegraph.co.uk,"765,252",94
142,cnet.com,"552,830",94
143,pinterest.com,"7,504,074",94
144,abcnews.go.com,"468,290",94
145,wsj.com,"799,503",94
146,it.wikipedia.org,"280,906",94
147,hatena.ne.jp,"1,340,639",94
148,foxnews.com,"450,190",94
149,elpais.com,"327,164",94
150,huffpost.com,"777,534",94
151,buydomains.com,"1,109,596",94
152,tools.google.com,"1,428,408",94
153,harvard.edu,"580,411",94
154,google.fr,"389,829",94
155,rakuten.co.jp,"576,901",94
156,thesun.co.uk,"251,999",94
157,google.co.uk,"544,686",94
158,plesk.com,"702,118",94
159,tinyurl.com,"1,263,182",94
160,draft.blogger.com,"10,047,497",94
161,terra.com.br,"185,131",94
162,youronlinechoices.com,"491,940",94
163,archive.org,"898,350",94
164,google.ru,"187,934",94
165,goo.gl,"4,189,615",94
166,who.int,"1,941,106",94
167,translate.google.com,"271,728",94
168,namecheap.com,"1,142,136",94
169,icann.org,"471,252",93
170,economist.com,"300,654",93
171,ziddu.com,"168,666",93
172,sedo.com,"2,735,287",93
173,ovh.net,"637,075",93
174,xbox.com,"142,541",93
175,newsweek.com,"244,303",93
176,detik.com,"354,749",93
177,trustpilot.com,"348,414",93
178,biglobe.ne.jp,"220,758",93
179,asus.com,"134,891",93
180,hollywoodreporter.com,"211,379",93
181,clickbank.net,"447,390",93
182,forms.gle,"387,047",93
183,netvibes.com,"1,165,637",93
184,bloglovin.com,"465,703",93
185,spotify.com,"1,148,862",93
186,enable-javascript.com,"1,555,754",93
187,huawei.com,"1,036,425",93
188,bitly.com,"378,719",93
189,lemonde.fr,"223,696",93
190,ibm.com,"434,788",93
191,20minutos.es,"121,361",93
192,cbc.ca,"346,118",93
193,amzn.to,"728,271",93
194,ovh.co.uk,"489,956",93
195,sciencedaily.com,"285,438",93
