,incident_id,victim_id,age,race,sex,vorelationship
0,1,1,25.0,Hispanic/Latino,Male,Undetermined
1,1,2,30.0,Hispanic/Latino,Male,Undetermined
2,1,3,30.0,Hispanic/Latino,Male,Undetermined
3,1,4,32.0,Hispanic/Latino,Male,Undetermined
4,2,5,30.0,White,Female,Neighbor
5,2,6,28.0,White,Female,Child or stepchild
6,2,7,54.0,White,Female,Spouse
7,2,8,31.0,White,Male,Neighbor
8,2,9,40.0,White,Female,Neighbor
9,3,10,28.0,White,Female,Roommate
10,3,11,29.0,Black,Male,Roommate
11,3,12,19.0,Black,Female,Roommate
12,3,13,26.0,Black,Female,Roommate
13,4,14,2.0,Black,Male,Relative of a known person
14,4,15,21.0,Black,Male,Criminal associate
15,4,16,21.0,Black,Female,Individual with some non-blood/marriage relationship to a known person
16,4,17,22.0,Black,Male,Individual with some non-blood/marriage relationship to a known person
17,5,18,42.0,White,Male,Individual with some non-blood/marriage relationship to a known person
18,5,19,24.0,White,Male,Individual with some non-blood/marriage relationship to a known person
19,5,20,23.0,White,Female,Ex-dating relationship
20,5,21,20.0,White,Female,Individual with some non-blood/marriage relationship to a known person
21,5,22,20.0,White,Male,Individual with some non-blood/marriage relationship to a known person
22,6,23,49.0,White,Male,Co-worker or employer
23,6,24,50.0,White,Male,Co-worker or employer
24,6,25,51.0,White,Male,Co-worker or employer
25,6,26,51.0,White,Male,Co-worker or employer
26,6,27,56.0,White,Male,Co-worker or employer
27,6,28,57.0,White,Male,Co-worker or employer
28,6,29,50.0,White,Male,Co-worker or employer
29,6,30,59.0,White,Male,Co-worker or employer
30,7,31,3.0,Black,Female,Other familial relationship
31,7,32,4.0,Black,Male,Other familial relationship
32,7,33,38.0,Black,Female,Other familial relationship
33,7,34,41.0,Black,Female,Other familial relationship
34,8,35,26.0,Black,Male,Random bystander/stranger
35,8,36,32.0,Black,Female,Random bystander/stranger
36,8,37,27.0,Black,Female,Random bystander/stranger
37,8,38,30.0,Black,Male,Random bystander/stranger
38,9,39,2.0,Black,Male,Child or stepchild
39,9,40,7.0,Black,Female,Child or stepchild
40,9,41,10.0,Black,Female,Child or stepchild
41,9,42,14.0,Black,Male,Child or stepchild
42,10,43,41.0,White,Female,Spouse
43,10,44,64.0,White,Female,In-law
44,10,45,4.0,White,Male,Child or stepchild
45,10,46,2.0,White,Female,Child or stepchild
46,11,47,53.0,White,Male,Individual with some non-blood/marriage relationship to a known person
47,11,48,62.0,White,Male,Relative of a known person
48,11,49,87.0,White,Male,Relative of a known person
49,11,50,39.0,White,Female,Ex-dating relationship
50,12,51,25.0,White,Male,Criminal associate
51,12,52,31.0,White,Male,Friend
52,12,53,26.0,White,Male,Criminal associate
53,12,54,28.0,White,Male,Criminal associate
54,13,55,1.0,Black,Male,Child or stepchild
55,13,56,3.0,Black,Female,Niece/Nephew
56,13,57,16.0,Black,Female,Niece/Nephew
57,13,58,19.0,Black,Female,Spouse
58,13,59,57.0,Black,Female,Parent or stepparent
59,14,60,16.0,Black,Female,Criminal associate
60,14,61,17.0,Black,Male,Criminal associate
61,14,62,18.0,Black,Male,Criminal associate
62,14,63,19.0,Black,Male,Criminal associate
63,15,64,4.0,Black,Male,Cousin
64,15,65,7.0,Black,Male,Cousin
65,15,66,17.0,Black,Female,Individual with some non-blood/marriage relationship to a known person
66,15,67,25.0,Black,Female,Individual with some non-blood/marriage relationship to a known person
67,16,68,27.0,Hispanic/Latino,Male,Roommate
68,16,69,28.0,Hispanic/Latino,Female,Neighbor
69,16,70,37.0,Hispanic/Latino,Male,Neighbor
70,16,71,28.0,Hispanic/Latino,Male,Neighbor
71,16,72,40.0,Hispanic/Latino,Male,Neighbor
72,17,73,54.0,Black,Female,Parent or stepparent
73,17,74,69.0,Black,Male,Parent or stepparent
74,17,75,25.0,Black,Female,Sibling
75,17,76,19.0,Black,Male,Sibling
76,17,77,2.0,Black,Female,Niece/Nephew
77,18,78,37.0,White,Female,Sibling
78,18,79,38.0,White,Male,In-law
79,18,80,4.0,White,Male,Niece/Nephew
80,18,81,15.0,White,Female,Neighbor
81,18,82,43.0,White,Male,Neighbor
82,18,83,43.0,White,Female,Neighbor
83,18,84,15.0,White,Male,Niece/Nephew
84,18,85,16.0,White,Male,Individual with some non-blood/marriage relationship to a known person
85,19,86,55.0,White,Male,Random bystander/stranger
86,19,87,52.0,White,Female,Random bystander/stranger
87,19,88,24.0,White,Male,Random bystander/stranger
88,19,89,19.0,White,Female,Random bystander/stranger
89,19,90,80.0,White,Male,Random bystander/stranger
90,20,91,44.0,White,Female,Spouse
91,20,92,18.0,White,Female,Child or stepchild
92,20,93,16.0,White,Female,Child or stepchild
93,20,94,89.0,White,Female,Other familial relationship
94,21,95,22.0,Hispanic/Latino,Male,Undetermined
95,21,96,26.0,Hispanic/Latino,Male,Undetermined
