,incident_id,weapon_id,weapon_type,gun_class,gun_type
0,2,2,gun,LG,shotgun
1,3,3,gun,HG,pistol
2,3,4,blunt object,NG,
3,3,5,knife,NG,
4,4,6,gun,HG,handgun
5,4,7,gun,HG,handgun
6,5,8,gun,HG,semiautomatic handgun
7,6,9,gun,HG,semiautomatic handgun
8,6,10,gun,HG,semiautomatic handgun
9,7,11,gun,HG,handgun
10,7,12,gun,HG,handgun
11,8,13,gun,HG,handgun
12,9,14,sharp object,NG,
13,9,15,fire,NG,
14,10,16,knife,NG,
15,11,17,knife,NG,
16,12,18,gun,HG,semiautomatic handgun
17,13,19,gun,HG,semiautomatic handgun
18,14,20,gun,LG,rifle
19,14,21,gun,HG,semiautomatic handgun
20,14,22,gun,HG,semiautomatic handgun
21,15,23,gun,HG,semiautomatic handgun
22,16,24,fire,NG,
23,17,25,gun,LG,shotgun
24,17,26,gun,HG,handgun
25,17,27,sharp object,NG,
26,18,28,gun,LG,rifle
27,18,29,explosive,NG,
28,19,30,gun,HG,handgun
29,19,31,gun,HG,handgun
30,19,32,gun,HG,handgun
31,19,33,gun,HG,handgun
32,20,34,gun,LG,rifle
33,21,35,gun,LG,semiautomatic rifle
34,22,36,gun,HG,handgun
35,22,37,gun,HG,handgun
36,22,38,knife,NG,
37,23,39,gun,HG,handgun
38,23,40,gun,HG,revolver
39,24,41,gun,HG,handgun
40,24,42,gun,HG,handgun
41,24,43,gun,LG,shotgun
42,25,44,gun,HG,semiautomatic handgun
43,25,45,gun,HG,semiautomatic handgun
44,26,46,strangulation ,NG,
45,26,47,other,NG,
46,27,48,gun,LG,shotgun
47,27,49,gun,HG,revolver
48,28,50,gun,LG,rifle
49,28,51,knife,NG,
50,28,52,blunt object,NG,
51,29,53,gun,UG,
52,30,54,blunt object,NG,
53,31,55,gun,HG,revolver
54,32,56,blunt object,NG,
55,33,57,gun,HG,handgun
56,34,58,fire,NG,
57,35,59,knife,NG,
58,36,60,gun,UG,
59,37,61,gun,HG,semiautomatic handgun
60,37,62,gun,LG,shotgun
61,38,63,gun,HG,handgun
62,38,64,gun,HG,handgun
63,38,65,gun,HG,handgun
64,38,66,knife,NG,
65,39,67,gun,LG,rifle
66,39,68,gun,LG,rifle
67,40,69,gun,HG,handgun
68,40,70,gun,HG,handgun
69,41,71,gun,HG,semiautomatic handgun
70,42,72,gun,HG,semiautomatic handgun
71,42,73,knife,NG,
72,43,74,gun,LG,shotgun
73,43,75,gun,LG,rifle
74,43,76,gun,HG,revolver
75,44,77,knife,NG,
76,44,78,gun,HG,semiautomatic handgun
77,44,79,gun,HG,semiautomatic handgun
78,45,80,gun,HG,semiautomatic handgun
79,46,81,fire,NG,
80,47,82,gun,HG,revolver
81,48,83,strangulation ,NG,
82,48,84,other,NG,
83,49,88,gun,HG,semiautomatic handgun
84,49,89,fire,NG,
85,50,90,gun,HG,semiautomatic handgun
86,50,91,gun,LG,rifle
87,51,92,gun,HG,handgun
88,52,93,gun,HG,revolver
89,52,94,gun,HG,semiautomatic handgun
90,52,95,gun,HG,semiautomatic handgun
91,53,96,sharp object,NG,
92,54,97,gun,HG,handgun
93,55,98,gun,HG,semiautomatic handgun
94,56,99,gun,LG,rifle
95,56,100,gun,HG,handgun
96,56,101,knife,NG,
97,57,102,gun,HG,handgun
98,57,103,gun,LG,rifle
99,57,104,gun,LG,rifle
100,58,105,blunt object,NG,
101,58,106,sharp object,NG,
102,59,107,gun,HG,pistol
103,60,108,gun,HG,semiautomatic handgun
104,61,109,gun,LG,rifle
105,62,110,gun,UG,
106,63,111,gun,LG,shotgun
107,64,112,gun,HG,semiautomatic handgun
108,65,113,blunt object,NG,
109,65,114,blunt object,NG,
110,66,115,gun,UG,
111,67,116,gun,HG,semiautomatic handgun
112,67,117,knife,NG,
113,67,118,blunt object,NG,
