,Years,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Population (People),76094000,77584000,79163000,80632000,82166000,83822000,85450000,87008000.0,88710000.0,90490000.0,92407000.0,93863000.0,95335000.0,97225000.0,99111000.0,100546000.0,101961000.0,103268000.0,103208000.0,104514000.0,106461000.0,108538000.0,110049000.0,111947000.0,114109000.0,115829000.0,117397000.0,119035000.0,120509000.0,121767000.0,123076741.0,124039648.0,124840471.0,125578763.0,126373773.0,127250232.0,128053180.0,128824829.0,129824939.0,130879718.0,132122446.0,133402471.0,134859553.0,136739353.0,138397345.0,139928165.0,141388566.0,144126071.0,146631302.0,149188130.0,152271417.0,154877889.0,157552740.0,160184192.0,163025854.0,165931202.0,168903031.0,171984130.0,174881904.0,177829628.0,180671158.0,183691481.0,186537737.0,189241798.0,191888791.0,194302963.0,196560338.0,198712056.0,200706052.0,202676946.0,205052174.0,207660677.0,209896021.0,211908788.0,213853928.0,215973199.0,218035164.0,220239425.0,222584545.0,225055487.0,227224681.0,229465714.0,231664458.0,233791994.0,235824902.0,237923795.0,240132887.0,242288918.0,244498982.0,246819230.0,249622814.0,252980941.0,256514224.0,259918588.0,263125821.0,266278393.0,269394284.0,272646925.0,275854104.0,279040168.0,282162411.0,284968955.0,287625193.0,290107933.0,292805298.0,295516599.0,298379912.0,301231207.0,304093966.0,306771529.0,309327143.0,311583481.0,313877662.0,316059947.0,318386329.0,320738994.0,323071755.0,325122128.0,326838199.0,328329953.0,331501080.0,331893745.0
1,    Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,        Under 5 years of age (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16451188.0,16892767.0,17227895.0,17546968.0,17694998.0,17841708.0,17962587.0,18052290.0,18195465.0,18508093.0,18856447.0,19208046.0,19528041.0,19729275.0,19776862.0,19626505.0,19408272.0,19232671.0,19144923.0,19135544.0,19178293.0,19298217.0,19429192.0,19592446.0,19785885.0,19917400.0,19938883.0,20125962.0,20271127.0,20244518.0,20189578.0,20126211.0,19980936.0,19855184.0,19878806.0,19924706.0,19936737.0,19895016.0,19778527.0,19571339.0,19301292.0,
3,        5 to 14 years (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34838697.0,34360571.0,34102586.0,33921858.0,33788303.0,33692422.0,33572752.0,33807229.0,34255589.0,34713696.0,35289633.0,36037085.0,36676867.0,37367359.0,38025965.0,38645220.0,39295639.0,39854729.0,40335509.0,40819824.0,41101548.0,41152040.0,41133838.0,41036204.0,40865917.0,40601646.0,40577826.0,40555653.0,40636257.0,40843063.0,41012845.0,41050515.0,41146522.0,41232578.0,41200030.0,41105432.0,41084557.0,41113762.0,41100800.0,41041806.0,40992134.0,
4,        15 to 24 years (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42496648.0,42203419.0,41643879.0,41020290.0,40460043.0,39991892.0,39556684.0,38889932.0,38150913.0,37390779.0,36921979.0,36504705.0,36434242.0,36463777.0,36531873.0,36674212.0,36796805.0,37307767.0,38006835.0,38676031.0,39411622.0,40213570.0,40854135.0,41388854.0,41948112.0,42446169.0,42843844.0,43145815.0,43391492.0,43576932.0,43684315.0,43826612.0,43970419.0,44010321.0,43952354.0,43779770.0,43507796.0,43167197.0,42902176.0,42710397.0,42555684.0,
5,        25 to 34 years (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37428687.0,38900546.0,39417346.0,40207832.0,40961840.0,41696515.0,42371801.0,42840709.0,43130183.0,43236392.0,43215820.0,43224002.0,42996970.0,42652396.0,42329554.0,42052123.0,41809305.0,41344963.0,40756512.0,40178406.0,39804497.0,39471522.0,39349646.0,39243795.0,39266556.0,39258647.0,39395179.0,39713463.0,40207473.0,40723342.0,41212154.0,41800949.0,42304034.0,42854406.0,43475811.0,44073239.0,44775127.0,45319858.0,45679060.0,46003684.0,46069646.0,
6,        35 to 44 years (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25805222.0,26394405.0,28030377.0,29267313.0,30502944.0,31691031.0,33009010.0,34226446.0,35180440.0,36414447.0,37783237.0,39329466.0,39976334.0,40911550.0,41818866.0,42710768.0,43551263.0,44228415.0,44748354.0,45076677.0,45168843.0,45051752.0,44640649.0,44154206.0,43800275.0,43505538.0,43243801.0,42796230.0,42192486.0,41487811.0,40980656.0,40633781.0,40511710.0,40446168.0,40403298.0,40440626.0,40463900.0,40767905.0,41232094.0,41674444.0,42136192.0,
7,        45 to 54 years (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22742771.0,22579485.0,22425286.0,22355442.0,22385372.0,22459257.0,22658896.0,23095853.0,23949210.0,24633174.0,25206778.0,25820152.0,27547718.0,28863949.0,30152761.0,31480239.0,32799965.0,34177508.0,35231857.0,36577819.0,37998974.0,39386268.0,39992194.0,40819954.0,41629930.0,42495904.0,43286159.0,43939939.0,44460447.0,44867088.0,44986457.0,44725889.0,44255965.0,43749265.0,43329465.0,43013105.0,42703288.0,42227049.0,41571660.0,40860323.0,40366133.0,
8,        55 to 64 years (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21754058.0,21913749.0,22029823.0,22111766.0,22154045.0,22135001.0,21993783.0,21750615.0,21513632.0,21240949.0,21101641.0,21045861.0,20998058.0,21028471.0,21159137.0,21320022.0,21589986.0,22099311.0,23010955.0,23778026.0,24429066.0,25105295.0,26703332.0,28008945.0,29305304.0,30641497.0,31930113.0,33128434.0,34157063.0,35405600.0,36782889.0,38068633.0,38575865.0,39279688.0,39985560.0,40746246.0,41391871.0,41873702.0,42219277.0,42431225.0,42403677.0,
9,        65+ years (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25707448.0,26220666.0,26787304.0,27360434.0,27877238.0,28415906.0,29007328.0,29625949.0,30123404.0,30681589.0,31247279.0,31811624.0,32355994.0,32901811.0,33330803.0,33769304.0,34143049.0,34401561.0,34619159.0,34797841.0,35069568.0,35290291.0,35522207.0,35863529.0,36203319.0,36649798.0,37164107.0,37825711.0,38777621.0,39623175.0,40478249.0,41350891.0,43132211.0,44632337.0,46161005.0,47655870.0,49208479.0,50757639.0,52354605.0,54036735.0,55659365.0,
10,    Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,        Northeast (People),21059000,21401000,21815000,22248000,22716000,23214000,23769000,24320000.0,24879000.0,25440000.0,25958000.0,26338000.0,26746000.0,27224000.0,27684000.0,28049000.0,28427000.0,28814000.0,28683000.0,29335000.0,29674000.0,30187000.0,30619000.0,31128000.0,31761000.0,32274000.0,32627000.0,32886000.0,33464000.0,34013000.0,34539000.0,34868000.0,35105000.0,35271000.0,35433000.0,35595000.0,35723000.0,35798000.0,35991000.0,35991000.0,35975000.0,35987000.0,35575000.0,34881000.0,34335000.0,34067000.0,36594000.0,37835000.0,38790000.0,39551000.0,39559000.0,39644000.0,40178000.0,41045000.0,41823000.0,42278000.0,42628000.0,43095000.0,43766000.0,44371000.0,44802000.0,45384000.0,45833000.0,46402000.0,46953000.0,47451000.0,47788000.0,48106000.0,48435000.0,48678000.0,,,,,,,,,,,49183045.0,49269574.0,49333784.0,49536746.0,49718187.0,49868586.0,50071307.0,50301685.0,50583925.0,50756901.0,50916548.0,51166980.0,51447656.0,51777957.0,52036206.0,52278383.0,52513334.0,52745365.0,53022824.0,53343775.0,53666295.0,53915522.0,54143915.0,54334453.0,54423533.0,54451230.0,54522659.0,54653362.0,54875926.0,55133101.0,55380764.0,55608318.0,55782661.0,55912775.0,56021339.0,56052790.0,56063777.0,56083383.0,56084543.0,56002934.0,55849869.0,
12,        Midwest (People),26359000,26722000,27126000,27446000,27830000,28203000,28524000,28868000.0,29187000.0,29530000.0,30019000.0,30385000.0,30778000.0,31327000.0,31914000.0,32432000.0,32912000.0,33245000.0,32966000.0,33568000.0,34373000.0,35005000.0,35414000.0,35971000.0,36571000.0,37039000.0,37461000.0,37937000.0,38198000.0,38447000.0,38667000.0,38872000.0,39053000.0,39199000.0,39287000.0,39454000.0,39561000.0,39640000.0,39735000.0,39961000.0,40223000.0,40334000.0,40236000.0,39284000.0,39006000.0,38807000.0,41576000.0,42597000.0,43437000.0,44175000.0,44632000.0,45053000.0,45673000.0,46436000.0,47515000.0,48511000.0,49309000.0,49946000.0,50572000.0,51124000.0,51715000.0,52185000.0,52583000.0,53073000.0,53655000.0,54225000.0,54840000.0,55289000.0,55692000.0,56106000.0,,,,,,,,,,,58901238.0,58912038.0,58784164.0,58691281.0,58775281.0,58819680.0,58847704.0,59017675.0,59254030.0,59467754.0,59788707.0,60339238.0,60928804.0,61484354.0,61970726.0,62473250.0,62944737.0,63344954.0,63715930.0,64100061.0,64491431.0,64776531.0,65018293.0,65276954.0,65532305.0,65751872.0,66028555.0,66293689.0,66523935.0,66748437.0,66975328.0,67164092.0,67348275.0,67576524.0,67765576.0,67885682.0,68018175.0,68160342.0,68263019.0,68340091.0,68316744.0,
13,        South (People),24565000,25114000,25599000,26055000,26492000,27003000,27475000,27879000.0,28406000.0,28963000.0,29544000.0,30025000.0,30457000.0,31066000.0,31670000.0,32051000.0,32433000.0,32776000.0,32975000.0,32860000.0,33357000.0,33947000.0,34366000.0,34837000.0,35383000.0,35842000.0,36374000.0,36972000.0,37352000.0,37626000.0,37920000.0,38176000.0,38456000.0,38780000.0,39162000.0,39516000.0,39812000.0,40131000.0,40636000.0,41250000.0,41825000.0,42623000.0,43269000.0,43933000.0,43002000.0,42594000.0,44261000.0,45041000.0,45414000.0,45981000.0,47347000.0,48321000.0,48840000.0,48927000.0,49266000.0,50224000.0,51151000.0,52287000.0,53123000.0,54077000.0,55174000.0,56158000.0,57179000.0,58008000.0,58853000.0,59579000.0,60205000.0,60771000.0,61489000.0,62190000.0,,,,,,,,,,,75721008.0,76964608.0,78302445.0,79449355.0,80417379.0,81408836.0,82427783.0,83207732.0,83890480.0,84700107.0,85796360.0,87225702.0,88704251.0,90218014.0,91749057.0,93249180.0,94717153.0,96245085.0,97722335.0,99164460.0,100565549.0,101849575.0,103150787.0,104380188.0,105883977.0,107479771.0,109076933.0,110688742.0,112184930.0,113548615.0,114869421.0,116019483.0,117264196.0,118397213.0,119666248.0,121049223.0,122419547.0,123611036.0,124649156.0,125686544.0,126662754.0,
14,        West (People),4112000,4351000,4620000,4882000,5127000,5398000,5671000,5934000.0,6234000.0,6557000.0,6885000.0,7118000.0,7351000.0,7610000.0,7852000.0,8016000.0,8194000.0,8432000.0,8575000.0,8747000.0,9059000.0,9401000.0,9655000.0,10014000.0,10402000.0,10674000.0,10942000.0,11243000.0,11486000.0,11683000.0,11949000.0,12122000.0,12225000.0,12330000.0,12490000.0,12686000.0,12958000.0,13253000.0,13463000.0,13682000.0,13931000.0,14178000.0,14840000.0,16147000.0,16543000.0,17012000.0,17623000.0,17973000.0,18452000.0,18958000.0,20331000.0,20964000.0,21701000.0,22548000.0,23278000.0,24056000.0,25001000.0,25859000.0,26687000.0,27563000.0,28284000.0,29246000.0,30142000.0,30955000.0,31624000.0,32205000.0,32667000.0,33207000.0,33696000.0,34332000.0,,,,,,,,,,,43419428.0,44319388.0,45244103.0,46114521.0,46913936.0,47826630.0,48786047.0,49761931.0,50770401.0,51894357.0,53121199.0,54249021.0,55433513.0,56438263.0,57369832.0,58277580.0,59219060.0,60311521.0,61393015.0,62431872.0,63439136.0,64427327.0,65312198.0,66116338.0,66965483.0,67833726.0,68751765.0,69595414.0,70509175.0,71341376.0,72101630.0,72791588.0,73482530.0,74173435.0,74933166.0,75751299.0,76570256.0,77267367.0,77841481.0,78300384.0,78654756.0,
15,    Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,        Male (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110398754.0,111502912.0,112579479.0,113646987.0,114670252.0,115729577.0,116865225.0,117960907.0,119085496.0,120277490.0,121713764.0,123416235.0,125247146.0,126970600.0,128597479.0,130215371.0,131807484.0,133473526.0,135129904.0,136802873.0,138443407.0,139891492.0,141230559.0,142428897.0,143828012.0,145197078.0,146647265.0,148064854.0,149489951.0,150807454.0,152077478.0,153212980.0,154397027.0,155514054.0,156695810.0,157906843.0,159085693.0,160113445.0,160960513.0,161692336.0,162256202.0,
17,        Female (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116825965.0,117962696.0,119085017.0,120144916.0,121154531.0,122194155.0,123267616.0,124328116.0,125413340.0,126541629.0,127909050.0,129564706.0,131267078.0,132947988.0,134528342.0,136063022.0,137586800.0,139173399.0,140724200.0,142237295.0,143719004.0,145077463.0,146394634.0,147679036.0,148977286.0,150319521.0,151732647.0,153166353.0,154604015.0,155964075.0,157249665.0,158370501.0,159480635.0,160545893.0,161690519.0,162832151.0,163986062.0,165008683.0,165877686.0,166637617.0,167227921.0,
18,    Life stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,        Minors (0-17) (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63683466.0,63211690.0,62812665.0,62566086.0,62482778.0,62623913.0,62865654.0,63056407.0,63247010.0,63456320.0,64215494.0,65307843.0,66501754.0,67585622.0,68631532.0,69464022.0,70225449.0,70916437.0,71428507.0,71946360.0,72376189.0,72671175.0,72936457.0,73100758.0,73297735.0,73523669.0,73757714.0,74019405.0,74104602.0,74134167.0,74121600.0,73915919.0,73712220.0,73590844.0,73592588.0,73652662.0,73698258.0,73630929.0,73384278.0,73087452.0,72822113.0,
20,            By State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,                Alabama (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1122273.0,1120409.0,1116590.0,1113083.0,1113662.0,1117229.0,1126798.0,1132296.0,1134927.0,1134192.0,1130415.0,1123812.0,1116691.0,1109897.0,1105754.0,1102583.0,1099306.0,1095210.0,1089820.0,,,
22,                Alaska (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190615.0,188771.0,188482.0,186843.0,186335.0,185304.0,185580.0,184344.0,183124.0,186351.0,187995.0,188554.0,188357.0,188278.0,186753.0,186071.0,186810.0,185608.0,183816.0,,,
23,                Arizona (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1373414.0,1399015.0,1427938.0,1453671.0,1484454.0,1529168.0,1574867.0,1607895.0,1628651.0,1627343.0,1626340.0,1615978.0,1616830.0,1618232.0,1623955.0,1628980.0,1636043.0,1639054.0,1642647.0,,,
24,                Arkansas (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680378.0,679606.0,678798.0,679579.0,683166.0,689787.0,697842.0,702737.0,705725.0,707886.0,711622.0,711634.0,711181.0,709024.0,707169.0,706559.0,706077.0,705584.0,703180.0,,,
25,                California (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9267089.0,9325466.0,9365142.0,9404594.0,9418497.0,9405565.0,9370884.0,9335620.0,9321621.0,9294501.0,9280448.0,9244602.0,9193267.0,9156957.0,9133599.0,9116020.0,9086531.0,9044674.0,8989764.0,,,
