incident_id,victim_id,age,race,sex,vorelationship
1,1,25,Hispanic/Latino,Male,Undetermined
1,2,30,Hispanic/Latino,Male,Undetermined
1,3,30,Hispanic/Latino,Male,Undetermined
1,4,32,Hispanic/Latino,Male,Undetermined
2,5,30,White,Female,Neighbor
2,6,28,White,Female,Child or stepchild
2,7,54,White,Female,Spouse
2,8,31,White,Male,Neighbor
2,9,40,White,Female,Neighbor
3,10,28,White,Female,Roommate
3,11,29,Black,Male,Roommate
3,12,19,Black,Female,Roommate
3,13,26,Black,Female,Roommate
4,14,2,Black,Male,Relative of a known person
4,15,21,Black,Male,Criminal associate
4,16,21,Black,Female,Individual with some non-blood/marriage relationship to a known person
4,17,22,Black,Male,Individual with some non-blood/marriage relationship to a known person
5,18,42,White,Male,Individual with some non-blood/marriage relationship to a known person
5,19,24,White,Male,Individual with some non-blood/marriage relationship to a known person
5,20,23,White,Female,Ex-dating relationship
5,21,20,White,Female,Individual with some non-blood/marriage relationship to a known person
5,22,20,White,Male,Individual with some non-blood/marriage relationship to a known person
6,23,49,White,Male,Co-worker or employer
6,24,50,White,Male,Co-worker or employer
6,25,51,White,Male,Co-worker or employer
6,26,51,White,Male,Co-worker or employer
6,27,56,White,Male,Co-worker or employer
6,28,57,White,Male,Co-worker or employer
6,29,50,White,Male,Co-worker or employer
6,30,59,White,Male,Co-worker or employer
7,31,3,Black,Female,Other familial relationship
7,32,4,Black,Male,Other familial relationship
7,33,38,Black,Female,Other familial relationship
7,34,41,Black,Female,Other familial relationship
8,35,26,Black,Male,Random bystander/stranger
8,36,32,Black,Female,Random bystander/stranger
8,37,27,Black,Female,Random bystander/stranger
8,38,30,Black,Male,Random bystander/stranger
9,39,2,Black,Male,Child or stepchild
9,40,7,Black,Female,Child or stepchild
9,41,10,Black,Female,Child or stepchild
9,42,14,Black,Male,Child or stepchild
10,43,41,White,Female,Spouse
10,44,64,White,Female,In-law
10,45,4,White,Male,Child or stepchild
10,46,2,White,Female,Child or stepchild
11,47,53,White,Male,Individual with some non-blood/marriage relationship to a known person
11,48,62,White,Male,Relative of a known person
11,49,87,White,Male,Relative of a known person
11,50,39,White,Female,Ex-dating relationship
12,51,25,White,Male,Criminal associate
12,52,31,White,Male,Friend
12,53,26,White,Male,Criminal associate
12,54,28,White,Male,Criminal associate
13,55,1,Black,Male,Child or stepchild
13,56,3,Black,Female,Niece/Nephew
13,57,16,Black,Female,Niece/Nephew
13,58,19,Black,Female,Spouse
13,59,57,Black,Female,Parent or stepparent
14,60,16,Black,Female,Criminal associate
14,61,17,Black,Male,Criminal associate
14,62,18,Black,Male,Criminal associate
14,63,19,Black,Male,Criminal associate
15,64,4,Black,Male,Cousin
15,65,7,Black,Male,Cousin
15,66,17,Black,Female,Individual with some non-blood/marriage relationship to a known person
15,67,25,Black,Female,Individual with some non-blood/marriage relationship to a known person
16,68,27,Hispanic/Latino,Male,Roommate
16,69,28,Hispanic/Latino,Female,Neighbor
16,70,37,Hispanic/Latino,Male,Neighbor
16,71,28,Hispanic/Latino,Male,Neighbor
16,72,40,Hispanic/Latino,Male,Neighbor
17,73,54,Black,Female,Parent or stepparent
17,74,69,Black,Male,Parent or stepparent
17,75,25,Black,Female,Sibling
17,76,19,Black,Male,Sibling
17,77,2,Black,Female,Niece/Nephew
18,78,37,White,Female,Sibling
18,79,38,White,Male,In-law
18,80,4,White,Male,Niece/Nephew
18,81,15,White,Female,Neighbor
18,82,43,White,Male,Neighbor
18,83,43,White,Female,Neighbor
18,84,15,White,Male,Niece/Nephew
18,85,16,White,Male,Individual with some non-blood/marriage relationship to a known person
19,86,55,White,Male,Random bystander/stranger
19,87,52,White,Female,Random bystander/stranger
19,88,24,White,Male,Random bystander/stranger
19,89,19,White,Female,Random bystander/stranger
19,90,80,White,Male,Random bystander/stranger
20,91,44,White,Female,Spouse
20,92,18,White,Female,Child or stepchild
20,93,16,White,Female,Child or stepchild
20,94,89,White,Female,Other familial relationship
21,95,22,Hispanic/Latino,Male,Undetermined
21,96,26,Hispanic/Latino,Male,Undetermined
21,97,21,Hispanic/Latino,Male,Undetermined
21,98,21,Hispanic/Latino,Male,Undetermined
22,99,22,Hispanic/Latino,Female,Individual with some non-blood/marriage relationship to a known person
22,100,32,Hispanic/Latino,Male,Criminal associate
22,101,22,White,Female,Individual with some non-blood/marriage relationship to a known person
22,102,25,White,Female,Individual with some non-blood/marriage relationship to a known person
23,103,39,White,Male,First responder
23,104,37,White,Male,First responder
23,105,40,White,Female,First responder
23,106,42,White,Male,First responder
24,107,66,White,Male,Parent or stepparent
24,108,38,White,Male,Sibling
24,109,35,White,Female,Sibling
24,110,13,White,Female,Niece/Nephew
24,111,31,White,Female,Sibling
25,112,20,White,Male,Random bystander/stranger
25,113,35,White,Male,Random bystander/stranger
