incident_id,weapon_id,weapon_type,gun_class,gun_type
2,2,gun,LG,shotgun
3,3,gun,HG,pistol
3,4,blunt object,NG,
3,5,knife,NG,
4,6,gun,HG,handgun
4,7,gun,HG,handgun
5,8,gun,HG,semiautomatic handgun
6,9,gun,HG,semiautomatic handgun
6,10,gun,HG,semiautomatic handgun
7,11,gun,HG,handgun
7,12,gun,HG,handgun
8,13,gun,HG,handgun
9,14,sharp object,NG,
9,15,fire,NG,
10,16,knife,NG,
11,17,knife,NG,
12,18,gun,HG,semiautomatic handgun
13,19,gun,HG,semiautomatic handgun
14,20,gun,LG,rifle
14,21,gun,HG,semiautomatic handgun
14,22,gun,HG,semiautomatic handgun
15,23,gun,HG,semiautomatic handgun
16,24,fire,NG,
17,25,gun,LG,shotgun
17,26,gun,HG,handgun
17,27,sharp object,NG,
18,28,gun,LG,rifle
18,29,explosive,NG,
19,30,gun,HG,handgun
19,31,gun,HG,handgun
19,32,gun,HG,handgun
19,33,gun,HG,handgun
20,34,gun,LG,rifle
21,35,gun,LG,semiautomatic rifle
22,36,gun,HG,handgun
22,37,gun,HG,handgun
22,38,knife,NG,
23,39,gun,HG,handgun
23,40,gun,HG,revolver
24,41,gun,HG,handgun
24,42,gun,HG,handgun
24,43,gun,LG,shotgun
25,44,gun,HG,semiautomatic handgun
25,45,gun,HG,semiautomatic handgun
26,46,strangulation ,NG,
26,47,other,NG,
27,48,gun,LG,shotgun
27,49,gun,HG,revolver
28,50,gun,LG,rifle
28,51,knife,NG,
28,52,blunt object,NG,
29,53,gun,UG,
30,54,blunt object,NG,
31,55,gun,HG,revolver
32,56,blunt object,NG,
33,57,gun,HG,handgun
34,58,fire,NG,
35,59,knife,NG,
36,60,gun,UG,
37,61,gun,HG,semiautomatic handgun
37,62,gun,LG,shotgun
38,63,gun,HG,handgun
38,64,gun,HG,handgun
38,65,gun,HG,handgun
38,66,knife,NG,
39,67,gun,LG,rifle
39,68,gun,LG,rifle
40,69,gun,HG,handgun
40,70,gun,HG,handgun
41,71,gun,HG,semiautomatic handgun
42,72,gun,HG,semiautomatic handgun
42,73,knife,NG,
43,74,gun,LG,shotgun
43,75,gun,LG,rifle
43,76,gun,HG,revolver
44,77,knife,NG,
44,78,gun,HG,semiautomatic handgun
44,79,gun,HG,semiautomatic handgun
45,80,gun,HG,semiautomatic handgun
46,81,fire,NG,
47,82,gun,HG,revolver
48,83,strangulation ,NG,
48,84,other,NG,
49,88,gun,HG,semiautomatic handgun
49,89,fire,NG,""
50,90,gun,HG,semiautomatic handgun
